year	state	inc	def	tpop	yd	ydpc	esrcb	esrcbpc	esrcd	resrcd	esrcbg	esrcbgpc	esrcdg	resrcdg	hdd	cdd
1988	GA	85057038	104.2	6339	81628635.32	12877.21	94.2	0.01	20.58	19.75	110.83	0.02	6.07	5.82	0.26	0.17
1989	GA	89985269	109.3	6436	82328699.91	12791.9	96.73	0.02	21.18	19.38	106.38	0.02	6.08	5.56	0.26	0.17
1990	GA	96249272	115	6478	83695019.13	12919.89	102.13	0.02	21.86	19.01	92.7	0.01	6.64	5.77	0.23	0.2
1970	IA	9426402	35.7	2825	26404487.39	9346.72	22.11	0.01	7.75	21.7	97.08	0.03	0.96	2.68	0.71	0.09
1971	IA	9976630	37.4	2852	26675481.28	9353.25	23.38	0.01	7.93	21.2	93.06	0.03	1.02	2.72	0.68	0.09
1972	IA	10917052	38.8	2860	28136731.96	9838.02	24.83	0.01	8.26	21.29	97.37	0.03	1.1	2.82	0.69	0.08
1973	IA	13346053	41	2864	32551348.78	11365.69	26.11	0.01	8.47	20.65	92.55	0.03	1.15	2.82	0.66	0.09
1974	IA	13454879	45.2	2868	29767431.42	10379.16	26.61	0.01	9.24	20.45	93	0.03	1.21	2.67	0.72	0.07
1975	IA	15151805	48.9	2881	30985286.3	10755.05	28.45	0.01	10.46	21.39	95.12	0.03	1.42	2.9	0.62	0.09
1976	IA	16031954	51.8	2903	30949718.15	10661.29	28.74	0.01	11.4	22.01	90.37	0.03	1.6	3.09	0.72	0.08
1977	IA	17769379	55.4	2914	32074691.34	11007.1	30.2	0.01	12.54	22.64	87.26	0.03	1.93	3.48	0.78	0.1
1978	IA	20778064	59.4	2918	34979905.72	11987.63	32.87	0.01	12.99	21.87	81	0.03	2.25	3.79	0.79	0.09
1979	IA	22133475	64.7	2916	34209389.49	11731.62	33.1	0.01	14.27	22.06	96.14	0.03	2.68	4.14	0.68	0.08
1980	IA	23288563	71.4	2914	32617035.01	11193.22	34.25	0.01	16.13	22.6	85.2	0.03	3.18	4.46	0.63	0.1
1981	IA	26386770	77.8	2918	33916156.81	11623.08	33.61	0.01	18.42	23.68	77.24	0.03	3.88	4.99	0.75	0.08
1982	IA	26726898	82.2	2905	32514474.45	11192.59	34.8	0.01	19.87	24.17	85.46	0.03	4.66	5.66	0.65	0.08
1983	IA	27375070	86.2	2896	31757621.81	10966.03	37.75	0.01	21.07	24.45	78.39	0.03	5.45	6.32	0.73	0.11
1984	IA	30716145	89.6	2892	34281411.83	11853.88	33.68	0.01	21.9	24.44	80.94	0.03	5.48	6.11	0.66	0.08
1985	IA	31823971	93.1	2870	34182568.21	11910.3	33.61	0.01	22.53	24.2	79.61	0.03	5.33	5.72	0.71	0.07
1986	IA	33036779	96	2840	34413311.46	12117.36	34.15	0.01	22.56	23.5	74.94	0.03	5.07	5.28	0.6	0.09
1987	IA	34145513	100	2822	34145513	12099.76	34.27	0.01	22.91	22.91	65.77	0.02	4.71	4.71	0.67	0.11
1988	IA	35515224	104.2	2830	34083708.25	12043.71	36.43	0.01	22.23	21.34	76.64	0.03	4.76	4.56	0.69	0.12
1989	IA	38164573	109.3	2840	34917267.15	12294.81	35.47	0.01	22.19	20.3	78.26	0.03	4.65	4.25	0.67	0.08
1990	IA	40949805	115	2777	35608526.09	12822.66	35.87	0.01	22.89	19.9	71.88	0.03	4.96	4.31	0.65	0.08
1970	ID	2219581	35.7	713	6217313.73	8719.94	8.03	0.01	4.81	13.47	8.18	0.01	1.31	3.67	0.71	0.05
1971	ID	2427753	37.4	739	6491318.18	8783.92	8.88	0.01	4.93	13.17	8.97	0.01	1.41	3.77	0.71	0.05
1972	ID	2771855	38.8	763	7143956.19	9362.98	9.71	0.01	4.94	12.73	11.55	0.02	1.42	3.66	0.72	0.04
1973	ID	3212024	41	782	7834204.88	10018.16	10.58	0.01	4.91	11.97	10.52	0.01	1.44	3.51	0.68	0.04
1974	ID	3749600	45.2	808	8295575.22	10266.8	11.42	0.01	5.03	11.13	10.06	0.01	1.73	3.82	0.73	0.05
1975	ID	4017466	48.9	832	8215676.89	9874.61	13.21	0.02	5.27	10.77	14.86	0.02	2.07	4.23	0.71	0.04
1976	ID	4547069	51.8	857	8778125.48	10242.85	14.22	0.02	5.79	11.18	13.23	0.02	2.12	4.09	0.7	0.03
1977	ID	4951809	55.4	883	8938283.39	10122.63	15.2	0.02	6.25	11.27	12.48	0.01	2.7	4.86	0.65	0.05
1978	ID	5728487	59.4	911	9643917.51	10586.08	15.36	0.02	6.51	10.95	8.22	0.01	3.23	5.45	0.76	0.03
1979	ID	6317056	64.7	933	9763610.51	10464.75	17.22	0.02	7.22	11.15	9.16	0.01	3.56	5.5	0.66	0.05
1980	ID	7065912	71.4	944	9896235.29	10483.3	16.84	0.02	8.54	11.96	7.78	0.01	4.73	6.62	0.65	0.03
1981	ID	7651616	77.8	965	9834982.01	10191.69	17.57	0.02	9.21	11.83	7.18	0.01	5.21	6.69	0.71	0.04
1982	ID	7992505	82.2	978	9723242.09	9941.97	18.76	0.02	9.88	12.01	7.35	0.01	6.46	7.86	0.68	0.04
1983	ID	8980107	86.2	988	10417757.54	10544.29	17.78	0.02	9.91	11.49	6.82	0.01	7.05	8.18	0.74	0.04
1984	ID	9561848	89.6	1000	10671705.36	10671.71	19.48	0.02	11.96	13.35	7.67	0.01	6.6	7.36	0.77	0.04
1985	ID	9944370	93.1	1005	10681385.61	10628.24	19.72	0.02	12.6	13.54	8.14	0.01	6.57	7.06	0.73	0.05
1986	ID	10437095	96	1003	10871973.96	10839.46	18.54	0.02	13.14	13.69	7.44	0.01	5.89	6.14	0.65	0.05
1987	ID	10815002	100	1000	10815002	10815	17.77	0.02	13.45	13.45	7.13	0.01	5.41	5.41	0.65	0.04
1988	ID	11441184	104.2	1003	10980023.03	10947.18	18.59	0.02	13.88	13.32	7.84	0.01	5.38	5.17	0.7	0.05
1989	ID	12615113	109.3	1014	11541731.93	11382.38	19.49	0.02	14.11	12.91	9.02	0.01	4.92	4.5	0.65	0.05
1990	ID	13791145	115	1007	11992300	11908.94	19.2	0.02	14.27	12.41	8.81	0.01	4.91	4.27	0.71	0.06
1970	IL	43201834	35.7	11110	121013540.62	10892.31	76.88	0.01	7.97	22.33	450.13	0.04	1.02	2.86	0.63	0.1
1971	IL	47039682	37.4	11202	125774550.8	11227.87	81.81	0.01	8.3	22.19	474.21	0.04	1.05	2.8	0.6	0.1
1972	IL	50251651	38.8	11252	129514564.43	11510.36	86.88	0.01	8.77	22.6	499.95	0.04	1.11	2.85	0.6	0.08
1973	IL	56802935	41	11251	138543743.9	12313.9	92.73	0.01	9.2	22.44	455.93	0.04	1.19	2.89	0.58	0.1
1974	IL	61916799	45.2	11262	136984068.58	12163.39	91.71	0.01	10.43	23.06	472.24	0.04	1.32	2.92	0.62	0.08
1975	IL	67806915	48.9	11292	138664447.85	12279.88	89.96	0.01	11.41	23.33	491	0.04	1.57	3.22	0.57	0.09
1976	IL	73653598	51.8	11343	142188413.13	12535.34	89.76	0.01	12.18	23.52	520.59	0.05	1.85	3.58	0.69	0.08
1977	IL	80940740	55.4	11386	146102418.77	12831.76	96.07	0.01	12.88	23.26	534.53	0.05	2.15	3.89	0.71	0.1
1978	IL	89521386	59.4	11413	150709404.04	13205.06	99.28	0.01	14.38	24.21	529.95	0.05	2.46	4.14	0.7	0.09
1979	IL	97968747	64.7	11397	151420010.82	13285.95	99.93	0.01	15.5	23.96	507.71	0.04	2.93	4.54	0.64	0.08
1980	IL	106075668	71.4	11427	148565361.34	13001.26	102.12	0.01	17.78	24.9	489	0.04	3.53	4.95	0.61	0.1
1981	IL	117414993	77.8	11476	150919014.14	13150.84	96.83	0.01	20.66	26.55	476.73	0.04	3.97	5.1	0.69	0.08
1982	IL	123694291	82.2	11482	150479672.75	13105.7	97.58	0.01	23.06	28.05	468.65	0.04	4.63	5.63	0.58	0.08
1983	IL	129844317	86.2	11494	150631458.24	13105.23	104.88	0.01	26.92	31.23	448.33	0.04	5.25	6.09	0.67	0.11
1984	IL	142634265	89.6	11525	159190027.9	13812.58	103.83	0.01	25.67	28.65	498.78	0.04	5.16	5.76	0.61	0.09
1985	IL	150351552	93.1	11539	161494685.28	13995.55	102.28	0.01	26.42	28.38	464.47	0.04	5.34	5.74	0.63	0.08
1986	IL	159060223	96	11554	165687732.29	14340.29	105.65	0.01	27.74	28.9	446.25	0.04	4.96	5.17	0.57	0.09
1987	IL	164395406	100	11585	164395406	14190.37	109.17	0.01	29.82	29.82	413.98	0.04	4.74	4.74	0.63	0.11
1988	IL	177133348	104.2	11613	169993616.12	14638.22	115.94	0.01	28.54	27.39	470.65	0.04	4.52	4.34	0.64	0.12
1989	IL	189647953	109.3	11658	173511393.41	14883.46	110.47	0.01	29.21	26.73	511	0.04	4.81	4.4	0.61	0.08
1990	IL	201347255	115	11431	175084569.57	15316.65	112.16	0.01	29.07	25.28	451.9	0.04	4.95	4.3	0.57	0.08
1970	IN	17040749	35.7	5195	47733190.48	9188.29	46.02	0.01	6.56	18.37	159.65	0.03	1	2.81	0.6	0.09
1971	IN	18693371	37.4	5253	49982275.4	9515	49.04	0.01	6.58	17.59	163.72	0.03	1.07	2.87	0.55	0.09
1972	IN	20191764	38.8	5302	52040628.87	9815.28	52.32	0.01	7.03	18.13	170.22	0.03	1.13	2.92	0.57	0.08
1973	IN	23511074	41	5338	57344082.93	10742.62	55.79	0.01	7.22	17.62	154.71	0.03	1.2	2.92	0.54	0.1
1974	IN	24691233	45.2	5362	54626621.68	10187.73	56.44	0.01	7.81	17.27	157.63	0.03	1.28	2.84	0.58	0.08
1975	IN	26960907	48.9	5366	55134779.14	10274.84	55.87	0.01	8.55	17.48	161.19	0.03	1.47	3.01	0.53	0.09
1976	IN	29953464	51.8	5389	57825220.08	10730.23	56.89	0.01	9.54	18.41	151.32	0.03	1.71	3.3	0.66	0.07
1977	IN	33106332	55.4	5426	59758722.02	11013.4	61.58	0.01	10.71	19.34	150.11	0.03	2.04	3.69	0.68	0.11
1978	IN	36979590	59.4	5470	62255202.02	11381.21	62.31	0.01	12.04	20.28	166.62	0.03	2.19	3.69	0.64	0.09
1979	IN	40676754	64.7	5501	62869789.8	11428.79	62.49	0.01	12.99	20.08	171.47	0.03	2.67	4.13	0.61	0.08
1980	IN	43865746	71.4	5490	61436619.05	11190.64	65.72	0.01	13.86	19.41	161.85	0.03	3.19	4.47	0.59	0.11
1981	IN	47627121	77.8	5490	61217379.18	11150.71	65.23	0.01	15.36	19.74	157.87	0.03	3.63	4.67	0.65	0.08
1982	IN	49346911	82.2	5485	60032738.44	10944.89	65.87	0.01	17.76	21.61	162.64	0.03	4.32	5.26	0.54	0.08
1983	IN	51875143	86.2	5475	60179980.28	10991.78	68	0.01	17.92	20.79	146.13	0.03	5.46	6.33	0.63	0.12
1984	IN	58073201	89.6	5492	64813840.4	11801.5	68.9	0.01	19.52	21.78	152.63	0.03	5.65	6.31	0.56	0.09
1985	IN	60580370	93.1	5500	65070214.82	11830.95	67.57	0.01	20.37	21.88	147.42	0.03	5.5	5.9	0.57	0.08
1986	IN	64402197	96	5504	67085621.88	12188.52	69.97	0.01	21.14	22.02	141.4	0.03	5.47	5.69	0.55	0.1
1987	IN	67715331	100	5531	67715331	12242.87	72.23	0.01	21.38	21.38	140.3	0.03	4.91	4.91	0.59	0.11
1988	IN	72167132	104.2	5559	69258284.07	12458.77	76.72	0.01	20.95	20.1	155.93	0.03	5.08	4.88	0.6	0.11
1989	IN	76800655	109.3	5593	70265924.06	12563.19	76.02	0.01	20.31	18.58	158.45	0.03	5.42	4.96	0.58	0.08
1990	IN	81170335	115	5544	70582900	12731.4	75.44	0.01	20.13	17.5	143.05	0.03	5.28	4.59	0.52	0.08
1970	KS	7392634	35.7	2249	20707658.26	9207.5	18.25	0.01	7.17	20.07	97.12	0.04	0.69	1.92	0.52	0.16
1971	KS	8139274	37.4	2247	21762764.71	9685.25	18.95	0.01	7.33	19.59	98.45	0.04	0.72	1.92	0.46	0.14
1972	KS	9020472	38.8	2256	23248639.18	10305.25	20.36	0.01	7.31	18.83	100.64	0.04	0.74	1.9	0.53	0.14
1973	KS	10313372	41	2266	25154565.85	11100.87	22.07	0.01	7.3	17.8	94.99	0.04	0.76	1.85	0.47	0.15
1974	KS	11025900	45.2	2269	24393584.07	10750.81	22.62	0.01	7.94	17.57	91.69	0.04	0.92	2.03	0.52	0.14
1975	KS	12098054	48.9	2281	24740396.73	10846.29	19.43	0.01	9.23	18.88	96.56	0.04	1.05	2.14	0.44	0.14
1976	KS	13279171	51.8	2301	25635465.25	11141.01	19.65	0.01	10.05	19.41	99.37	0.04	1.51	2.92	0.52	0.14
1977	KS	14401855	55.4	2321	25996128.16	11200.4	20.35	0.01	11.7	21.11	92.83	0.04	1.77	3.19	0.56	0.17
1978	KS	16006285	59.4	2336	26946607.74	11535.36	22.42	0.01	12.62	21.24	97.53	0.04	1.8	3.04	0.58	0.17
1979	KS	18283004	64.7	2351	28258120.56	12019.62	21.46	0.01	13.59	21	100.54	0.04	1.99	3.07	0.51	0.14
1980	KS	19959475	71.4	2364	27954446.78	11825.06	24.53	0.01	15.75	22.05	84.79	0.04	2.38	3.33	0.44	0.2
1981	KS	22254999	77.8	2390	28605397.17	11968.79	25.93	0.01	17.57	22.58	74.15	0.03	3.05	3.92	0.53	0.15
1982	KS	23950717	82.2	2410	29137125.3	12090.09	26.43	0.01	20.17	24.54	82.35	0.03	4.03	4.91	0.51	0.14
1983	KS	25389506	86.2	2428	29454183.29	12131.05	28.55	0.01	22.5	26.1	81.04	0.03	4.65	5.4	0.56	0.17
1984	KS	27675801	89.6	2441	30888170.76	12653.9	28.22	0.01	22.03	24.58	78.84	0.03	4.52	5.04	0.51	0.15
1985	KS	28963829	93.1	2448	31110450.05	12708.52	27.96	0.01	21.98	23.61	78.34	0.03	4.12	4.42	0.48	0.13
1986	KS	30617733	96	2458	31893471.88	12975.38	28.48	0.01	24.01	25.01	69.58	0.03	3.95	4.11	0.46	0.16
1987	KS	31946797	100	2475	31946797	12907.8	29.4	0.01	23.63	23.63	73.07	0.03	3.9	3.9	0.51	0.15
1988	KS	34101510	104.2	2496	32726976.97	13111.77	31.12	0.01	22.94	22.02	75.32	0.03	4.08	3.91	0.48	0.16
1989	KS	35133710	109.3	2513	32144290.94	12791.2	30.36	0.01	22.46	20.55	75.52	0.03	4.2	3.84	0.49	0.12
1990	KS	38174725	115	2478	33195413.04	13396.05	32.46	0.01	22.95	19.96	71.31	0.03	4.48	3.9	0.45	0.16
1970	KY	8889976	35.7	3221	24901893.56	7731.11	23.84	0.01	5.85	16.4	87.94	0.03	0.81	2.28	0.46	0.13
1971	KY	9740418	37.4	3298	26043898.4	7896.88	25.75	0.01	5.38	14.37	85.63	0.03	0.87	2.31	0.4	0.12
1972	KY	10615708	38.8	3336	27360072.16	8201.46	24.15	0.01	5.44	14.01	87.31	0.03	0.91	2.34	0.44	0.11
1973	KY	12142300	41	3371	29615365.85	8785.34	27.24	0.01	6.22	15.18	81.74	0.02	0.97	2.37	0.38	0.13
1974	KY	13434860	45.2	3416	29723141.59	8701.15	27.67	0.01	6.94	15.34	77.25	0.02	1.08	2.4	0.44	0.1
1975	KY	14889190	48.9	3468	30448241.31	8779.77	32.71	0.01	7.83	16.01	79.79	0.02	1.22	2.49	0.41	0.12
1976	KY	16704702	51.8	3529	32248459.46	9138.13	34.24	0.01	8.29	16	97.41	0.03	1.31	2.52	0.53	0.09
1977	KY	18734849	55.4	3574	33817416.97	9462.06	39.17	0.01	9.09	16.4	95.68	0.03	1.77	3.19	0.54	0.14
1978	KY	20965008	59.4	3610	35294626.26	9776.9	41.04	0.01	10.08	16.97	85.27	0.02	1.92	3.23	0.48	0.12
1979	KY	23509600	64.7	3642	36336321.48	9977.02	40.86	0.01	10.87	16.79	78.2	0.02	2.33	3.6	0.48	0.1
1980	KY	25897388	71.4	3661	36270851.54	9907.36	44.61	0.01	12.91	18.08	74.89	0.02	3	4.21	0.47	0.14
1981	KY	28623806	77.8	3677	36791524.42	10005.85	46.74	0.01	14.84	19.07	71.52	0.02	3.44	4.42	0.48	0.11
1982	KY	30261915	82.2	3695	36814981.75	9963.46	46.73	0.01	16.24	19.75	68.53	0.02	4.41	5.36	0.43	0.11
1983	KY	31098456	86.2	3713	36077095.13	9716.43	49.34	0.01	17.32	20.09	64.31	0.02	5.2	6.04	0.49	0.14
1984	KY	34819640	89.6	3720	38861205.36	10446.56	50.07	0.01	16.63	18.56	68.37	0.02	5.09	5.68	0.44	0.12
1985	KY	35846636	93.1	3724	38503368.42	10339.25	49.61	0.01	17.06	18.32	61.89	0.02	5.15	5.53	0.42	0.12
1986	KY	37511452	96	3723	39074429.17	10495.41	52.23	0.01	16.94	17.65	61.63	0.02	4.75	4.95	0.44	0.14
1987	KY	39617766	100	3723	39617766	10641.36	54.87	0.01	16.68	16.68	61.28	0.02	4.37	4.37	0.46	0.14
1988	KY	42137894	104.2	3726	40439437.62	10853.31	57.36	0.02	16.6	15.93	66.4	0.02	4.32	4.15	0.45	0.13
1989	KY	45033245	109.3	3727	41201505.03	11054.87	57.74	0.02	16.51	15.1	67.63	0.02	4.5	4.12	0.44	0.11
1990	KY	48385838	115	3685	42074641.74	11417.81	57.37	0.02	16.7	14.52	58.48	0.02	4.73	4.11	0.39	0.11
1970	LA	10013856	35.7	3645	28050016.81	7695.48	31.85	0.01	6.58	18.44	88.65	0.02	0.75	2.11	0.18	0.25
1971	LA	10896179	37.4	3710	29134168.45	7852.88	34.53	0.01	6.65	17.78	82.21	0.02	0.69	1.85	0.13	0.25
1972	LA	11820736	38.8	3762	30465814.43	8098.3	39.79	0.01	6.73	17.33	84.62	0.02	0.9	2.31	0.2	0.27
1973	LA	13316414	41	3788	32479058.54	8574.2	41.96	0.01	6.93	16.91	95.36	0.03	0.95	2.32	0.14	0.26
1974	LA	15020381	45.2	3820	33230931.42	8699.2	41.36	0.01	7.9	17.49	93.97	0.02	1.09	2.42	0.16	0.25
1975	LA	16927650	48.9	3886	34616871.17	8908.1	40.68	0.01	7.96	16.28	99.25	0.03	1.33	2.71	0.17	0.24
1976	LA	19135331	51.8	3951	36940793.44	9349.73	42.56	0.01	8.43	16.28	98.61	0.02	1.52	2.94	0.24	0.22
1977	LA	21345037	55.4	4014	38528947.65	9598.64	48.69	0.01	9	16.24	97.67	0.02	1.91	3.44	0.23	0.27
1978	LA	24392147	59.4	4069	41064220.54	10091.97	52.71	0.01	9.51	16.01	85.46	0.02	2.37	3.99	0.19	0.27
1979	LA	27593256	64.7	4138	42648000	10306.43	52.9	0.01	10.68	16.5	90.82	0.02	2.62	4.05	0.2	0.24
1980	LA	31808722	71.4	4206	44550030.81	10592.02	57.43	0.01	13.81	19.34	75.8	0.02	3.28	4.6	0.2	0.28
1981	LA	36342316	77.8	4300	46712488.43	10863.37	60.06	0.01	17.03	21.89	84.37	0.02	4.01	5.15	0.17	0.27
1982	LA	39460120	82.2	4384	48005012.17	10950.05	61.38	0.01	18.47	22.47	71.74	0.02	5.08	6.19	0.18	0.26
1983	LA	41289458	86.2	4442	47899603.25	10783.34	59.2	0.01	18.22	21.14	71.05	0.02	5.88	6.83	0.21	0.23
1984	LA	44289834	89.6	4462	49430618.3	11078.13	65.85	0.01	19.87	22.17	72.35	0.02	5.72	6.39	0.17	0.25
1985	LA	46037519	93.1	4484	49449537.06	11028	68.81	0.02	20.27	21.77	63	0.01	5.47	5.87	0.16	0.27
1986	LA	46878269	96	4498	48831530.21	10856.28	69.14	0.02	20.75	21.62	60.4	0.01	5.56	5.79	0.18	0.28
1987	LA	46382602	100	4448	46382602	10427.74	68.19	0.02	21.05	21.05	63.8	0.01	5.35	5.35	0.19	0.25
1988	LA	48816331	104.2	4407	46848686.18	10630.52	68.7	0.02	20.89	20.05	62.18	0.01	5.51	5.29	0.16	0.24
1989	LA	50676084	109.3	4382	46364212.26	10580.61	70	0.02	21.5	19.67	60.18	0.01	5.72	5.24	0.17	0.24
1990	LA	53600317	115	4220	46608971.3	11044.78	73.13	0.02	21.7	18.87	55.61	0.01	5.85	5.09	0.16	0.27
1970	MA	22030200	35.7	5689	61709243.7	10847.12	31.85	0.01	8.59	24.07	83.64	0.01	1.9	5.31	0.67	0.05
1971	MA	23722342	37.4	5738	63428721.93	11054.15	34.8	0.01	9.16	24.49	84.44	0.01	2.09	5.6	0.64	0.05
1972	MA	25149954	38.8	5760	64819469.07	11253.38	37.41	0.01	9.52	24.54	87.24	0.02	2.26	5.83	0.63	0.04
1973	MA	27614270	41	5781	67351878.05	11650.56	39.97	0.01	10.03	24.46	84.94	0.01	2.37	5.79	0.62	0.06
1974	MA	29889419	45.2	5774	66127033.19	11452.55	39.04	0.01	13.95	30.86	86.3	0.01	2.68	5.94	0.63	0.04
1975	MA	32367445	48.9	5758	66191094.07	11495.5	36.33	0.01	15.3	31.28	90.59	0.02	3.14	6.42	0.6	0.05
1976	MA	34776625	51.8	5744	67136341.7	11688.08	38.31	0.01	15.7	30.3	95.69	0.02	3.62	6.99	0.68	0.04
1977	MA	37658611	55.4	5738	67975832.13	11846.61	37.84	0.01	16.51	29.81	93.88	0.02	3.92	7.08	0.67	0.04
1978	MA	41807527	59.4	5736	70383042.09	12270.4	38.36	0.01	16.67	28.06	87.55	0.02	4.13	6.95	0.65	0.04
1979	MA	46297143	64.7	5738	71556635.24	12470.66	38.97	0.01	18.14	28.03	81.6	0.01	4.51	6.97	0.62	0.04
1980	MA	51962274	71.4	5737	72776294.12	12685.43	39.48	0.01	22.18	31.07	95.98	0.02	5.33	7.47	0.66	0.05
1981	MA	57313074	77.8	5755	73667190.23	12800.55	39.87	0.01	26.93	34.62	98.29	0.02	6.27	8.06	0.69	0.04
1982	MA	62538261	82.2	5747	76080609.49	13238.32	40.9	0.01	26.29	31.99	99.78	0.02	7.38	8.98	0.6	0.03
1983	MA	67711468	86.2	5764	78551587.01	13627.96	42.43	0.01	27	31.32	93.69	0.02	8.16	9.46	0.64	0.06
1984	MA	76184163	89.6	5795	85026967.63	14672.47	43.34	0.01	27.82	31.04	99.19	0.02	7.65	8.53	0.62	0.05
1985	MA	81633309	93.1	5824	87683468.31	15055.54	44.04	0.01	26.16	28.1	100.14	0.02	7.65	8.21	0.62	0.04
1986	MA	87968312	96	5835	91633658.33	15704.14	46.43	0.01	24.38	25.39	104.93	0.02	7.23	7.53	0.65	0.03
1987	MA	94989366	100	5856	94989366	16220.86	49.39	0.01	25.52	25.52	107.96	0.02	6.45	6.45	0.65	0.04
1988	MA	105459329	104.2	5890	101208569.1	17183.12	52.92	0.01	24.88	23.88	111.9	0.02	6.28	6.03	0.64	0.06
1989	MA	112029394	109.3	5913	102497158.28	17334.21	53.82	0.01	26.7	24.43	115.64	0.02	6.91	6.33	0.65	0.04
1990	MA	115845498	115	6016	100735215.65	16744.55	53.16	0.01	28.31	24.62	110.46	0.02	7.56	6.57	0.55	0.05
1970	MD	14757453	35.7	3924	41337403.36	10534.51	26.24	0.01	7.02	19.66	74.53	0.02	1.42	3.99	0.49	0.11
1971	MD	16238793	37.4	4018	43419232.62	10806.18	27.66	0.01	7.71	20.62	75.22	0.02	1.48	3.95	0.45	0.1
1972	MD	17494124	38.8	4073	45087948.45	11069.96	29.27	0.01	8.07	20.8	76.54	0.02	1.61	4.15	0.46	0.09
1973	MD	19618276	41	4098	47849453.66	11676.29	32.99	0.01	8.53	20.8	74.38	0.02	1.65	4.01	0.43	0.11
1974	MD	21384215	45.2	4119	47310210.18	11485.85	32.11	0.01	11.51	25.47	71.29	0.02	1.67	3.69	0.47	0.09
1975	MD	23458783	48.9	4139	47972971.37	11590.47	32.96	0.01	12.65	25.86	70.11	0.02	2.3	4.71	0.43	0.1
1976	MD	25771587	51.8	4151	49752098.46	11985.57	34.52	0.01	12.81	24.72	74.46	0.02	2.54	4.9	0.52	0.09
1977	MD	27679197	55.4	4170	49962449.46	11981.4	36.86	0.01	13.35	24.1	66.21	0.02	3.13	5.65	0.53	0.11
1978	MD	30865026	59.4	4184	51961323.23	12419.05	38.11	0.01	14.97	25.2	72.15	0.02	3.3	5.56	0.5	0.1
1979	MD	34046919	64.7	4191	52622749.61	12556.13	38.23	0.01	15.29	23.63	72.52	0.02	3.61	5.58	0.47	0.09
1980	MD	38393148	71.4	4217	53771915.97	12751.23	41.35	0.01	17.32	24.26	69.43	0.02	4.38	6.13	0.49	0.12
1981	MD	42373466	77.8	4257	54464609.25	12794.13	42	0.01	19.34	24.86	71.41	0.02	5	6.42	0.52	0.09
1982	MD	45577079	82.2	4274	55446568.13	12972.99	42.55	0.01	21.31	25.93	68.71	0.02	6.02	7.32	0.44	0.09
1983	MD	50069174	86.2	4301	58084888.63	13504.97	46.03	0.01	21.2	24.59	66.07	0.02	7.27	8.43	0.5	0.11
1984	MD	55882318	89.6	4349	62368658.48	14340.92	47.68	0.01	20.32	22.68	74.91	0.02	7.25	8.09	0.43	0.1
1985	MD	60618484	93.1	4393	65111153.6	14821.57	48.86	0.01	21.32	22.9	70.73	0.02	7.01	7.53	0.45	0.1
1986	MD	65265069	96	4463	67984446.88	15232.9	53.97	0.01	21.14	22.02	74.46	0.02	6.64	6.92	0.47	0.11
1987	MD	70479831	100	4537	70479831	15534.46	58.75	0.01	20.19	20.19	73.03	0.02	6.16	6.16	0.49	0.13
1988	MD	77627773	104.2	4626	74498822.46	16104.37	63.07	0.01	19.68	18.89	77.29	0.02	5.72	5.49	0.49	0.12
1989	MD	83049158	109.3	4694	75982761.21	16187.21	65.06	0.01	20.1	18.39	77.43	0.02	6.11	5.59	0.45	0.1
1990	MD	88523380	115	4781	76976852.17	16100.58	65.17	0.01	21.17	18.41	68.18	0.01	6.28	5.46	0.4	0.1
1970	ME	3025422	35.7	994	8474571.43	8525.73	5.88	0.01	8.12	22.75	0.53	0	1.96	5.5	0.83	0.03
1971	ME	3279526	37.4	1015	8768786.1	8639.2	6.44	0.01	8.08	21.62	0.57	0	2.03	5.43	0.82	0.02
1972	ME	3565161	38.8	1034	9188559.28	8886.42	7.26	0.01	8.42	21.69	0.61	0	2.12	5.45	0.8	0.02
1973	ME	3995262	41	1046	9744541.46	9316.01	7.72	0.01	8.65	21.09	0.61	0	2.15	5.24	0.79	0.03
1974	ME	4441198	45.2	1059	9825659.29	9278.24	8.22	0.01	10.07	22.28	0.62	0	2.35	5.2	0.8	0.02
1975	ME	4781940	48.9	1072	9779018.4	9122.22	8.49	0.01	11.67	23.86	0.74	0	2.59	5.29	0.79	0.03
1976	ME	5488566	51.8	1088	10595687.26	9738.68	9.45	0.01	11.02	21.28	0.81	0	2.62	5.05	0.84	0.02
1977	ME	5975799	55.4	1104	10786640.79	9770.51	9.76	0.01	12.21	22.05	0.77	0	3.54	6.39	0.83	0.02
1978	ME	6590958	59.4	1114	11095888.89	9960.4	10.22	0.01	12.57	21.16	0.78	0	3.49	5.87	0.81	0.02
1979	ME	7325695	64.7	1123	11322557.96	10082.42	10.29	0.01	14.63	22.61	0.73	0	4.1	6.34	0.78	0.02
1980	ME	8208923	71.4	1125	11497091.04	10219.64	10.23	0.01	18.3	25.63	0.57	0	6.2	8.68	0.81	0.02
1981	ME	9005177	77.8	1133	11574777.63	10216.04	10.35	0.01	21.02	27.02	0.59	0	7.27	9.34	0.85	0.02
1982	ME	9545304	82.2	1137	11612291.97	10213.1	10.86	0.01	21.71	26.41	0.6	0	8.43	10.25	0.75	0.02
1983	ME	10388062	86.2	1145	12051116.01	10524.99	10.98	0.01	21.63	25.09	0.56	0	9.59	11.12	0.8	0.03
1984	ME	11635688	89.6	1157	12986258.93	11224.08	11.49	0.01	22.35	24.95	0.56	0	9.28	10.36	0.8	0.03
